location,all_property_search_share_pct,sale_search_share_pct,land_search_share_pct,commercial_search_share_pct,demand_signal,entry_cost_signal,infrastructure_signal,development_signal,preliminary_market_role
Lugbe District,10.2,9.3,6.9,12.6,High,Lower,High,High,Value/growth
Gwarinpa,7.1,7.1,3.6,5.6,High,Medium,High,High,All-round/middle-market
Lokogoma District,5.0,4.8,1.6,3.3,High,Lower,Medium,High,Value/growth
Garki,4.3,4.4,2.7,5.0,High,Medium-high,High,Medium,Established/mixed
Kubwa,4.1,3.5,3.1,3.9,High,Lower,High,High,Mass-market/satellite
Asokoro District,4.0,4.2,4.7,2.9,High,Very high,High,Medium,Premium/capital preservation
Wuse,3.7,3.4,,4.4,High,High,High,Medium,Established/commercial
Maitama District,3.3,4.5,5.8,2.2,Medium-high,Very high,High,Medium,Luxury/capital preservation
Katampe,3.3,3.9,6.9,1.8,High,High,High,High,Premium development
Apo,3.1,3.2,5.2,2.4,High,Medium,Medium,High,Mixed/growth
Life Camp,2.8,3.4,2.6,2.1,Medium-high,High,High,Medium-high,Established/rental
Jahi,2.5,2.5,3.6,2.5,High,High,High,High,Emerging premium
Wuye,2.5,2.5,2.4,1.9,Medium-high,High,High,Medium,Established premium
Guzape District,2.4,3.6,7.2,1.8,High,High,High,High,Premium development
Jabi,2.3,1.8,2.0,2.5,Medium-high,High,High,Medium,Established/rental
Idu Industrial,2.1,2.1,5.0,1.9,Medium,Medium,High,High,Growth/development
Wuse 2,1.8,1.5,1.7,3.6,Medium,Very high,High,Medium,Luxury/commercial
Kuje,0.4,1.6,3.1,1.7,Growing,Low,Medium,High,Long-term growth
